município;documento;candidata(o);partido;coligação;resultado
Caracaraí;PLANODEGOVERNODIEGO3compressedDIEGO FARIAS.pdf;Diego Farias;PSDB;PDT / Federação PSDB CIDADANIA(PSDB/CIDADANIA);não eleita
Caracaraí;PLANODEGOVERNO2024CARACARADIANE COELHO.pdf;Diane Coelho;PP;PP / REPUBLICANOS / PODE;eleita
Caracaraí;PLANODEGOVERNOANTONIO REIS.pdf;Antônio Reis;MDB;MDB / PL;não eleita
Caracaraí;pje-Caracara-Caracarai - Gildeone-Valdivan.pdf;Gildeone Roque;NOVO;NOVO;não eleita
Rio de Janeiro;PlanodeGovernoARRALEXANDRE RAMAGEM.pdf;Alexandre Ramagem;PL;PL / MDB / REPUBLICANOS;não eleita
Rio de Janeiro;PROGRAMADEGOVERNODigitalEDUARDO PAES.pdf;Eduardo Paes;PSD;PODE / PRD / DC / AGIR / SOLIDARIEDADE / AVANTE / PSB / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PSD;eleita
Batayporã;PLANOBATAYPORA_GERMINO ROZ.pdf;Germino Roz;PSDB;PP / UNIÃO / PODE / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSDB CIDADANIA(PSDB/CIDADANIA);eleita
Batayporã;PlanodeGovernoOficial20252028EDMILSON GAISEIRO.pdf;Edmilson Gaiseiro;MDB;PDT / REPUBLICANOS / SOLIDARIEDADE / MDB;não eleita
São Luiz Paraitinga;PlanodeGovernoFlavioBonafeeDoutoraMarcela.pdf;Flavio Bonafe;MDB;MDB / PSB / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);não eleita
São Luiz Paraitinga;PLANODEGOVERNOANTONIOOZORIOERODRIGOMEDEIROSANTONIO OZORIO.pdf;Antonio Ozorio;PSD;PSD / UNIÃO / PRD / PODE / Federação PSDB CIDADANIA(PSDB/CIDADANIA);não eleita
São Luiz Paraitinga;PLANODEGOVERNOCASASCOLORIDASALEX TORRES.pdf;Alex Torres;PL;REPUBLICANOS / PP / MOBILIZA / AVANTE / PL;eleita
Itati;PLANODEGOVERNO2025a2028MADALENA.pdf;Madalena;PP;PP / PL;eleita
Itati;PLANODEGOVERNOITATI2024JUSSARA BOBSIN.pdf;Jussara Bobsin;PDT;PDT / MDB;não eleita
São Paulo;PlanoGovernoBoulosMartaTSE2.pdf;Guilherme Boulos;PSOL;Federação PSOL REDE(PSOL/REDE) / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PDT;2o turno
São Paulo;rnplanodegovernoRICARDO NUNES.pdf;Ricardo Nunes;MDB;PP / MDB / PL / PSD / REPUBLICANOS / SOLIDARIEDADE / PODE / AVANTE / PRD / MOBILIZA / UNIÃO;2o turno
